Data extracted on 14/10/2024 15:15:52 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Air passenger transport routes between partner airports and main airports in the Netherlands [avia_par_nl__custom_13280147];;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;25/09/2024 11:00;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Passenger;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic and transport measurement;;Passengers on board;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
AIRP_PR (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSTERDAM/SCHIPHOL airport - FUERTEVENTURA airport;:;;82,163;;81,056;;87,857;;83,735;;82,259;;100,225;;117,755;;114,911;;119,670;;:;;:;;94,238;;93,790;
AMSTERDAM/SCHIPHOL airport - GRAN CANARIA airport;239,717;;277,955;;258,198;;270,663;;254,795;;288,326;;351,651;;333,904;;313,373;;288,412;;100,937;;207,548;;361,579;;338,336;
AMSTERDAM/SCHIPHOL airport - LANZAROTE airport;80,402;;94,457;;108,267;;129,498;;120,100;;121,218;;146,808;;184,167;;148,926;;118,236;;:;;:;;136,185;;108,955;
AMSTERDAM/SCHIPHOL airport - TENERIFE SUR/REINA SOFIA airport;146,530;;176,710;;182,183;;203,852;;189,805;;194,587;;253,105;;260,687;;253,814;;225,779;;84,926;;159,996;;244,483;;264,178;
AMSTERDAM/SCHIPHOL airport - ALICANTE airport;149,735;;204,009;;227,331;;252,471;;261,506;;284,543;;394,512;;480,059;;434,993;;436,604;;154,597;;294,418;;439,562;;520,338;
AMSTERDAM/SCHIPHOL airport - BILBAO airport;:;;:;;:;;:;;93,311;;149,827;;193,664;;220,642;;233,450;;242,130;;:;;96,650;;185,237;;250,049;
AMSTERDAM/SCHIPHOL airport - BARCELONA/EL PRAT airport;1,067,205;;1,321,528;;1,250,126;;1,186,808;;1,217,977;;1,202,639;;1,305,451;;1,361,784;;1,418,969;;1,382,746;;377,835;;608,458;;1,204,862;;1,463,313;
AMSTERDAM/SCHIPHOL airport - GIRONA airport;:;;83,560;;:;;81,162;;83,296;;:;;85,318;;78,320;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - IBIZA airport;79,212;;109,072;;128,134;;144,078;;148,906;;177,257;;295,367;;327,749;;320,580;;296,575;;:;;279,715;;304,565;;328,496;
AMSTERDAM/SCHIPHOL airport - ADOLFO SUAREZ MADRID-BARAJAS airport;1,107,090;;1,137,846;;1,039,226;;748,498;;840,359;;925,370;;992,455;;1,021,986;;1,035,721;;1,140,173;;359,582;;458,560;;972,005;;1,052,475;
AMSTERDAM/SCHIPHOL airport - MALAGA/COSTA DEL SOL airport;279,984;;319,921;;334,184;;332,985;;344,581;;381,931;;534,503;;703,089;;661,787;;656,379;;229,366;;430,838;;642,295;;765,366;
AMSTERDAM/SCHIPHOL airport - PALMA DE MALLORCA airport;177,900;;228,934;;170,914;;161,690;;182,554;;208,761;;304,119;;326,372;;315,504;;295,455;;:;;242,432;;330,146;;365,567;
AMSTERDAM/SCHIPHOL airport - PALMA/SON SAN JUAN (MIL) airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - VALENCIA airport;150,365;;145,811;;144,333;;147,996;;155,941;;168,191;;262,177;;293,445;;375,529;;375,055;;120,368;;227,235;;344,575;;407,884;
AMSTERDAM/SCHIPHOL airport - SEVILLA airport;:;;:;;:;;:;;93,409;;107,438;;136,069;;130,739;;139,982;;149,697;;:;;:;;140,230;;148,896;
AMSTERDAM/SCHIPHOL airport - HELSINKI-MALMI airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - HELSINKI/VANTAA airport;413,598;;474,497;;467,113;;483,116;;505,769;;510,408;;563,669;;667,288;;708,014;;707,614;;231,766;;231,221;;532,868;;596,287;
AMSTERDAM/SCHIPHOL airport - BORDEAUX-MERIGNAC airport;112,005;;119,297;;127,363;;147,863;;239,203;;296,984;;313,602;;306,759;;311,246;;300,078;;98,191;;127,492;;181,991;;209,683;
AMSTERDAM/SCHIPHOL airport - TOULOUSE/BLAGNAC airport;160,780;;179,210;;194,807;;201,886;;206,649;;241,782;;274,276;;273,664;;264,876;;256,708;;86,084;;126,098;;183,959;;212,337;
AMSTERDAM/SCHIPHOL airport - LYON SAINT-EXUPERY airport;158,490;;169,806;;183,834;;205,350;;215,923;;247,377;;341,185;;356,752;;340,105;;323,987;;107,113;;154,766;;247,855;;293,883;
AMSTERDAM/SCHIPHOL airport - MARSEILLE-PROVENCE airport;175,384;;193,252;;211,267;;236,927;;236,339;;256,832;;309,774;;333,602;;328,667;;298,167;;87,787;;81,118;;158,770;;157,909;
AMSTERDAM/SCHIPHOL airport - NICE-COTE D'AZUR airport;278,659;;316,037;;333,651;;352,637;;366,600;;424,851;;450,615;;490,013;;464,602;;479,882;;150,931;;255,939;;346,918;;412,332;
AMSTERDAM/SCHIPHOL airport - MONTPELLIER MEDITERRANEE airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;86,508;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - PARIS-CHARLES DE GAULLE airport;991,413;;1,060,438;;1,144,260;;1,127,740;;1,159,622;;1,154,861;;1,187,339;;1,265,933;;1,238,556;;1,239,789;;495,151;;574,320;;910,359;;1,097,997;
AMSTERDAM/SCHIPHOL airport - PARIS-ORLY airport;:;;:;;:;;:;;:;;:;;139,264;;158,900;;168,460;;148,214;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - NANTES ATLANTIQUE airport;:;;:;;82,647;;87,143;;86,094;;103,471;;130,651;;160,977;;186,978;;193,140;;:;;:;;104,526;;162,544;
AMSTERDAM/SCHIPHOL airport - BALE-MULHOUSE airport;195,485;;210,353;;251,713;;284,164;;313,756;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - STRASBOURG-ENTZHEIM airport;:;;:;;:;;:;;:;;:;;76,828;;80,806;;90,736;;93,793;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - ACCRA/KOTOKA INTERNATIONAL airport;188,887;;189,667;;188,595;;188,797;;177,611;;200,945;;214,819;;222,119;;245,651;;250,915;;93,886;;139,664;;233,087;;255,659;
AMSTERDAM/SCHIPHOL airport - HONG KONG/INTERNATIONAL airport;428,666;;420,895;;414,934;;368,449;;365,723;;407,246;;410,444;;415,620;;426,371;;424,853;;79,840;;:;;:;;266,161;
AMSTERDAM/SCHIPHOL airport - SPLIT/KASTELA airport;:;;:;;:;;:;;:;;:;;:;;:;;83,992;;80,815;;:;;135,597;;155,601;;164,231;
AMSTERDAM/SCHIPHOL airport - ZAGREB/FRANJO TUDJMAN airport;:;;:;;78,001;;:;;111,798;;143,909;;168,335;;167,910;;156,850;;157,570;;86,052;;163,815;;191,030;;197,440;
AMSTERDAM/SCHIPHOL airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport;289,905;;403,104;;361,798;;355,695;;375,018;;332,506;;397,506;;443,939;;452,259;;454,460;;135,953;;236,771;;375,519;;392,501;
AMSTERDAM/SCHIPHOL airport - BALI INTL/NGURAH RAI airport;:;;:;;:;;:;;:;;:;;115,906;;136,950;;141,514;;143,003;;:;;:;;:;;113,089;
AMSTERDAM/SCHIPHOL airport - JAKARTA INTL/SOEKARNO-HATTA airport;:;;:;;:;;:;;80,315;;120,850;;251,631;;299,408;;309,782;;242,918;;:;;:;;:;;95,716;
AMSTERDAM/SCHIPHOL airport - JAKARTA CITY airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - CORK airport;149,622;;166,082;;170,711;;172,852;;169,436;;173,406;;178,476;;168,017;;155,856;;157,079;;:;;:;;191,218;;207,832;
AMSTERDAM/SCHIPHOL airport - DUBLIN airport;436,997;;465,856;;484,409;;497,983;;514,218;;608,571;;937,217;;1,080,890;;1,194,902;;1,212,683;;365,265;;396,492;;1,003,177;;1,187,501;
AMSTERDAM/SCHIPHOL airport - TEL-AVIV/BEN GURION airport;284,471;;381,914;;319,755;;343,856;;343,530;;389,529;;511,745;;566,438;;583,064;;605,466;;100,233;;126,191;;440,771;;486,409;
AMSTERDAM/SCHIPHOL airport - MUMBAI airport;156,733;;158,226;;164,410;;176,367;;163,500;;:;;146,405;;230,974;;310,236;;180,116;;:;;:;;189,191;;188,036;
AMSTERDAM/SCHIPHOL airport - DELHI (IGI) airport;224,376;;225,351;;223,732;;207,834;;208,118;;210,687;;369,353;;455,545;;454,308;;291,296;;94,182;;104,094;;222,866;;262,456;
AMSTERDAM/SCHIPHOL airport - BANGALORE INTERNATIONAL airport, DEVENAHALLI, BANGALORE airport;:;;:;;:;;:;;:;;:;;:;;:;;164,145;;:;;:;;:;;:;;126,861;
AMSTERDAM/SCHIPHOL airport - HYDERABAD airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
